gene_id	transcript_id	gene_name	type	strand	seqid	biotypes	description	start	end	gc	featWidth	GO BP	GO MF	GO CC
ITS2-2	ITS2-2_rRNA		rRNA	-	XII	rRNA	Non-coding region between RDN58 and RDN25; transcribed as part of the 35S rRNA precursor transcript; forms a stem-loop structure required for processing of the precursor transcript [Source:SGD;Acc:S000029712]	464319	464550	0.3879	232			
LSR1	LSR1_snRNA	LSR1	short_noncoding	-	II	snRNA	U2 spliceosomal RNA (U2 snRNA), component of the spliceosome; pairs with the branchpoint sequence; functionally equivalent to mammalian U2 snRNA; stress-induced pseudouridylations at positions 56 and 93 may contribute to regulation of splicing [Source:SGD;Acc:S000006478]	680688	681862	0.4085	1175			
NME1	NME1_snoRNA	NME1	short_noncoding	+	XIV	snoRNA	RNA component of RNase MRP; RNase MRP cleaves pre-rRNA and has a role in cell cycle-regulated degradation of daughter cell-specific mRNAs; human ortholog is implicated in cartilage-hair hypoplasia (CHH) [Source:SGD;Acc:S000007436]	585587	585926	0.3912	340			
PWR1	PWR1_ncRNA		short_noncoding	+	IX	ncRNA	Intergenic regulatory ncRNA; one of two long ncRNAs that play key roles in regulating transcription of the nearby protein-coding ORF FLO11; PWR1 promotes FLO11 transcription by interfering with ncRNA ICR1, which is transcribed across the FLO11 promoter [Source:SGD;Acc:S000132614]	395999	396939	0.3921	941			
Q0010	Q0010_mRNA	Q0010	protein_coding	+	Mito	protein_coding	Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0017 [Source:SGD;Acc:S000007257]	3952	4338	0.2377	387			GO:0005739
Q0017	Q0017_mRNA	Q0017	protein_coding	+	Mito	protein_coding	Dubious open reading frame; unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps the dubious ORF Q0010 [Source:SGD;Acc:S000007258]	4254	4415	0.2901	162			GO:0005739
Q0020	Q0020_rRNA	15S_RRNA	rRNA	+	Mito	rRNA	Ribosomal RNA of the small mitochondrial ribosomal subunit; MSU1 allele suppresses ochre stop mutations in mitochondrial protein-coding genes [Source:SGD;Acc:S000007287]	6546	8194	0.2122	1649			
Q0032	Q0032_mRNA	Q0032	protein_coding	+	Mito	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000007259]	11667	11957	0.1134	291			GO:0005739
Q0045	Q0045_mRNA	COX1	protein_coding	+	Mito	protein_coding	Subunit I of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits [Source:SGD;Acc:S000007260]	13818	26701	0.2991	1605	GO:0015990; GO:0055114; GO:0006123; GO:0009060	GO:0020037; GO:0005506; GO:0004129	GO:0005751; GO:0016021; GO:0045277
Q0050	Q0050_mRNA		protein_coding	+	Mito	protein_coding	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene [Source:SGD;Acc:S000007261]	13818	16322	0.2495	2505	GO:0006315; GO:0006278; GO:0055114; GO:0006397	GO:0003964	GO:0005739
Q0055	Q0055_mRNA		protein_coding	+	Mito	protein_coding	Reverse transcriptase required for splicing of the COX1 pre-mRNA; encoded by a mobile group II intron within the mitochondrial COX1 gene [Source:SGD;Acc:S000007262]	13818	18830	0.2651	2565	GO:0006314; GO:0055114; GO:0009060; GO:0006397	GO:0003964; GO:0020037; GO:0005506; GO:0004129	GO:0005739; GO:0016021
Q0060	Q0060_mRNA	AI3	protein_coding	+	Mito	protein_coding	Endonuclease I-SceIII; encoded by a mobile group I intron within the mitochondrial COX1 gene [Source:SGD;Acc:S000007263]	13818	19996	0.2163	1248	GO:0008380; GO:0006314; GO:0015990; GO:0055114; GO:0006123; GO:0009060; GO:0006397	GO:0020037; GO:0005506; GO:0004129; GO:0004519	GO:0005751; GO:0005739; GO:0016021
Q0065	Q0065_mRNA	AI4	protein_coding	+	Mito	protein_coding	Endonuclease I-SceII; encoded by a mobile group I intron within the mitochondrial COX1 gene; intron is normally spliced by the BI4p maturase but AI4p can mutate to acquire the same maturase activity [Source:SGD;Acc:S000007264]	13818	21935	0.2346	1671	GO:0008380; GO:0006314; GO:0015990; GO:0055114; GO:0006123; GO:0009060; GO:0006397	GO:0020037; GO:0005506; GO:0004129; GO:0004519	GO:0005751; GO:0005739; GO:0016021
Q0070	Q0070_mRNA		protein_coding	+	Mito	protein_coding	Endonuclease I-SceIV; involved in intron mobility; encoded by a mobile group I intron within the mitochondrial COX1 gene [Source:SGD;Acc:S000007265]	13818	23167	0.2287	1893	GO:0006316; GO:0008380; GO:0015990; GO:0055114; GO:0006123; GO:0009060; GO:0006397	GO:0020037; GO:0005506; GO:0004129; GO:0004519	GO:0005751; GO:0005739; GO:0016021
Q0075	Q0075_mRNA		protein_coding	+	Mito	protein_coding	Protein of unknown function; encoded within an intron of the mitochondrial COX1 gene; translational initiation codon is predicted to be ATA rather than ATG [Source:SGD;Acc:S000007266]	24156	25255	0.1653	1065	GO:0006259; GO:0034337; GO:0006314; GO:0000372	GO:0004536; GO:0004519; GO:0003677; GO:0003723	GO:0005739
Q0080	Q0080_mRNA	ATP8	protein_coding	+	Mito	protein_coding	Subunit 8 of the F0 sector of mitochondrial F1F0 ATP synthase; encoded on the mitochondrial genome; ATP8 and ATP6 mRNAs are not translated in the absence of the F1 sector of ATPase [Source:SGD;Acc:S000007267]	27666	27812	0.1905	147	GO:0015986	GO:0015078	GO:0000276; GO:0016021
Q0085	Q0085_mRNA	ATP6	protein_coding	+	Mito	protein_coding	Subunit a of the F0 sector of mitochondrial F1F0 ATP synthase; mitochondrially encoded; translation is specifically activated by Atp22p; ATP6 and ATP8 mRNAs are not translated in the absence of the F1 sector of ATPase; mutations in human ortholog MT-ATP6 are associated with neurodegenerative disorders such as Neurogenic Ataxia and Retinitis Pigmentosa (NARP), Leigh syndrome (LS), Charcot-Marie-Tooth (CMT), and ataxia telangiectasia [Source:SGD;Acc:S000007268]	28487	29266	0.2372	780	GO:0015986	GO:0015078	GO:0000276; GO:0016021; GO:0045263
Q0092	Q0092_mRNA	Q0092	protein_coding	+	Mito	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000007269]	30874	31014	0.156	141			GO:0005739
Q0105	Q0105_mRNA	COB	protein_coding	+	Mito	protein_coding	Cytochrome b; mitochondrially encoded subunit of the ubiquinol-cytochrome c reductase complex which includes Cobp, Rip1p, Cyt1p, Cor1p, Qcr2p, Qcr6p, Qcr7p, Qcr8p, Qcr9p, and Qcr10p [Source:SGD;Acc:S000007270]	36540	43647	0.2772	1158	GO:0022904; GO:0006122; GO:0009060	GO:0045153; GO:0008121; GO:0009055; GO:0016491; GO:0046872	GO:0005750; GO:0031305; GO:0016020; GO:0045275
Q0110	Q0110_mRNA		protein_coding	+	Mito	protein_coding	Mitochondrial mRNA maturase with a role in splicing; encoded by both exon and intron sequences of partially processed COB mRNA [Source:SGD;Acc:S000007271]	36540	38579	0.2028	1272	GO:0022904; GO:0008380; GO:0006397	GO:0009055; GO:0004518; GO:0004519; GO:0016491	GO:0016020; GO:0005739; GO:0005743; GO:0016021
Q0115	Q0115_mRNA		protein_coding	+	Mito	protein_coding	Mitochondrial mRNA maturase; forms a complex with Mrs1p to mediate splicing of the bI3 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA [Source:SGD;Acc:S000007272]	36540	40265	0.1898	1554	GO:0022904; GO:0000372; GO:0006397	GO:0009055; GO:0004519; GO:0016491; GO:0003723	GO:0016020; GO:0005739; GO:0005743; GO:0016021
Q0120	Q0120_mRNA		protein_coding	+	Mito	protein_coding	Mitochondrial mRNA maturase; forms a complex with Nam2p to mediate splicing of the bI4 intron of the COB gene; encoded by both exon and intron sequences of partially processed COB mRNA [Source:SGD;Acc:S000007273]	36540	42251	0.2269	1917	GO:0022904; GO:0000372; GO:0006397	GO:0009055; GO:0004519; GO:0016491; GO:0003723	GO:0016020; GO:0005739
Q0130	Q0130_mRNA	OLI1	protein_coding	+	Mito	protein_coding	F0-ATP synthase subunit c (ATPase-associated proteolipid); encoded on the mitochondrial genome; mutation confers oligomycin resistance; expression is specifically dependent on the nuclear genes AEP1 and AEP2 [Source:SGD;Acc:S000007274]	46723	46953	0.3333	231	GO:0015986	GO:0008289; GO:0015078; GO:0042802	GO:0000276; GO:0005758; GO:0005829; GO:0005743; GO:0016021; GO:0033177; GO:0045263
Q0140	Q0140_mRNA	VAR1	protein_coding	+	Mito	protein_coding	Mitochondrial ribosomal protein of the small subunit; mitochondrially-encoded; polymorphic in different strains due to variation in number of AAT (asparagine) codons; translated near the mitochondrial inner membrane; may have a role in loss of mitochondrial DNA under stress conditions [Source:SGD;Acc:S000007275]	48901	50097	0.1036	1197	GO:0006412; GO:0032543	GO:0003735	GO:0005761; GO:0005763
Q0142	Q0142_mRNA	Q0142	protein_coding	+	Mito	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps dubious open reading frame Q0143 [Source:SGD;Acc:S000007276]	51052	51228	0.1977	177			GO:0005739
Q0143	Q0143_mRNA	Q0143	protein_coding	+	Mito	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000007277]	51277	51429	0.2288	153			GO:0005739
Q0144	Q0144_mRNA		protein_coding	+	Mito	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000007278]	54109	54438	0.08182	330			GO:0005739
Q0158	Q0158_rRNA	21S_RRNA	rRNA	+	Mito	rRNA	Mitochondrial 21S rRNA; intron encodes the I-SceI DNA endonuclease [Source:SGD;Acc:S000007288]	58009	62447	0.2148	3296			
Q0160	Q0160_mRNA	SCEI	protein_coding	+	Mito	protein_coding	I-SceI DNA endonuclease; encoded by the mitochondrial group I intron of the 21S_rRNA gene; mediates gene conversion that propagates the intron into intron-less copies of the 21S_rRNA gene [Source:SGD;Acc:S000007279]	61022	61729	0.202	708	GO:0008380; GO:0006314; GO:0006397	GO:0004519	GO:0005739
Q0182	Q0182_mRNA	Q0182	protein_coding	+	Mito	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data [Source:SGD;Acc:S000007280]	65770	66174	0.2617	405			GO:0005739
Q0250	Q0250_mRNA	COX2	protein_coding	+	Mito	protein_coding	Subunit II of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits [Source:SGD;Acc:S000007281]	73758	74513	0.2672	756	GO:0022900; GO:0006123; GO:0009060	GO:0004129; GO:0016491; GO:0005507	GO:0005751; GO:0016020; GO:0016021
Q0255	Q0255_mRNA	Q0255	protein_coding	+	Mito	protein_coding	Maturase-like protein [Source:SGD;Acc:S000007282]	74495	75984	0.1536	1419	GO:0006259; GO:0034337; GO:0000372	GO:0004536; GO:0004519; GO:0003677; GO:0003723	GO:0005739
Q0275	Q0275_mRNA	COX3	protein_coding	+	Mito	protein_coding	Subunit III of cytochrome c oxidase (Complex IV); Complex IV is the terminal member of the mitochondrial inner membrane electron transport chain; one of three mitochondrially-encoded subunits [Source:SGD;Acc:S000007283]	79213	80022	0.3	810	GO:0019646; GO:0022904; GO:0006123; GO:0009060	GO:0004129; GO:0015002	GO:0005751; GO:0016020; GO:0005739; GO:0016021
Q0285	Q0285_ncRNA		short_noncoding	+	Mito	ncRNA	RNA component of mitochondrial RNase P; mitochondrial RNase P also contains the protein subunit Rpm2p; RNase P removes 5' extensions from mitochondrial tRNA precursors; RPM1 is conserved in bacteria, fungi, and protozoa [Source:SGD;Acc:S000029023]	85295	85777	0.1988	483			
Q0297	Q0297_mRNA	Q0297	protein_coding	+	Mito	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; partially overlaps the verified gene RPM1 [Source:SGD;Acc:S000007284]	85554	85709	0.4487	156			GO:0005739
RDN18-1	RDN18-1_rRNA	RDN18-1	rRNA	-	XII	rRNA	18S ribosomal RNA (18S rRNA); component of the small (40S) ribosomal subunit; involved in codon recognition by tRNAs or the release factor eRF1 (Sup45p); encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript [Source:SGD;Acc:S000006482]	455933	457732	0.4483	1800			
RDN18-2	RDN18-2_rRNA	RDN18-2	rRNA	-	XII	rRNA	18S ribosomal RNA (18S rRNA); component of the small (40S) ribosomal subunit; involved in codon recognition by tRNAs or the release factor eRF1 (Sup45p); encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript [Source:SGD;Acc:S000006483]	465070	466869	0.4483	1800			
RDN25-1	RDN25-1_rRNA	RDN25-1	rRNA	-	XII	rRNA	25S ribosomal RNA (25S rRNA); component of the large (60S) ribosomal subunit; encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript; formed by endonucleolytic cleavage at the C2 site of internal transcribed spacer 2 (ITS2) [Source:SGD;Acc:S000006484]	451786	455181	0.4794	3396			
RDN25-2	RDN25-2_rRNA	RDN25-2	rRNA	-	XII	rRNA	25S ribosomal RNA (25S rRNA); component of the large (60S) ribosomal subunit; encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript; formed by endonucleolytic cleavage at the C2 site of internal transcribed spacer 2 (ITS2) [Source:SGD;Acc:S000006485]	460923	464318	0.4794	3396			
RDN37-1	RDN37-1_rRNA	RDN37-1	rRNA	-	XII	rRNA	35S ribosomal RNA (35S rRNA) transcript; encoded by the RDN1 locus; processed into the 25S, 18S and 5.8S rRNAs (represented by the RDN25, RDN18, and RDN58 loci) [Source:SGD;Acc:S000006486]	451786	457732	0.4684	5354			
RDN37-2	RDN37-2_rRNA	RDN37-2	rRNA	-	XII	rRNA	35S ribosomal RNA (35S rRNA) transcript; encoded by the RDN1 locus; processed into the 25S, 18S and 5.8S rRNAs (represented by the RDN25, RDN18, and RDN58 loci) [Source:SGD;Acc:S000006487]	460923	466869	0.4684	5354			
RDN5-1	RDN5-1_rRNA	RDN5-1	rRNA	+	XII	rRNA	5S ribosomal RNA (5S rRNA); only complete sequence of 6 repeated RDN5 alleles; able to support viability when provided as sole form of 5S rRNA; component of the large (60S) ribosomal subunit; localized to the nucleolus via interaction with Rpl5p; may play a role in translational frame fidelity; transcription is mediated by PolIII and activated by TFIIIA and TFIIIE [Source:SGD;Acc:S000006479]	459676	459796	0.5207	121			
RDN5-2	RDN5-2_rRNA	RDN5-2	rRNA	+	XII	rRNA	Variant 5S ribosomal rRNA (5S rRNA) gene; located within the RDN1 locus; unable to support cell viability when provided as sole source of 5S rRNA; identical in sequence to variant alleles RDN5-3, RDN5-4, and RDN5-5 [Source:SGD;Acc:S000006480]	468813	468931	0.5294	119			
RDN5-3	RDN5-3_rRNA	RDN5-3	rRNA	+	XII	rRNA	Variant 5S ribosomal RNA (5S rRNA) gene; located at a site distal to the RDN1 locus; unable to support cell viability when provided as sole source of 5S rRNA; identical in sequence to variant alleles RDN5-2, RDN5-4, and RDN5-5 [Source:SGD;Acc:S000006481]	472465	472583	0.5294	119			
RDN5-4	RDN5-4_rRNA	RDN5-4	rRNA	+	XII	rRNA	Variant 5S ribosomal rRNA (5S rRNA) gene; located at a site distal to the RDN1 locus; unable to support cell viability when provided as sole source of 5S rRNA; identical in sequence to variant alleles RDN5-2, RDN5-3, and RDN5-5 [Source:SGD;Acc:S000029708]	482045	482163	0.5294	119			
RDN5-5	RDN5-5_rRNA	RDN5-5	rRNA	+	XII	rRNA	Variant 5S ribosomal rRNA (5S rRNA) gene; located at a site distal to the RDN1 locus; unable to support cell viability when provided as sole source of 5S rRNA; identical in sequence to variant alleles RDN5-2, RDN5-3, and RDN5-4 [Source:SGD;Acc:S000029710]	485697	485815	0.5294	119			
RDN5-6	RDN5-6_rRNA	RDN5-6	rRNA	+	XII	rRNA	Variant 5S ribosomal rRNA (5S rRNA) gene; located at a site distal to the RDN1 locus [Source:SGD;Acc:S000029711]	489349	489469	0.5207	121			
RDN58-1	RDN58-1_rRNA	RDN58-1	rRNA	-	XII	rRNA	5.8S ribosomal RNA (5.8S rRNA); component of the large (60S) ribosomal subunit; encoded in the rDNA repeat (RDN1) as part of the 35S primary transcript; 3' end formation involves processing by the exosome complex while 5' end is generated by Kem1p and Rat1p [Source:SGD;Acc:S000006488]	455414	455571	0.462	158			
RDN58-2	RDN58-2_rRNA	RDN58-2	rRNA	-	XII	rRNA	5.8S ribosomal RNA (5.8S rRNA); component of the large (60S) ribosomal subunit; encoded in the rDNA repeat (RDN1) [Source:SGD;Acc:S000006489]	464551	464708	0.462	158			
RME2	RME2_ncRNA		short_noncoding	-	VII	ncRNA	Antisense transcript initiated from the 3' end of the IME4 locus; expressed in haploids and interferes with IME4 expression through a cis-acting mechanism; RME2 expression is repressed by the MAT a1/alpha2 repressor complex [Source:SGD;Acc:S000144908]	141898	144120	0.3936	2223			
RME3	RME3_ncRNA		short_noncoding	-	VII	ncRNA	Antisense transcript that represses the meiosis-specific ZIP2 gene; expressed in haploid cells under sporulation inducing conditions; regulates ZIP2 in a cis-dependent manner; RME3 is repressed by the MAT a1/alpha2 complex in diploid cells [Source:SGD;Acc:S000144910]	33109	35013	0.3459	1905			
RNA170	RNA170_ncRNA	RNA170	short_noncoding	-	XIII	ncRNA	RNA polymerase III transcribed RNA of unknown function; conserved in other yeast species [Source:SGD;Acc:S000114171]	667288	667456	0.4556	169			
RPR1	RPR1_ncRNA		short_noncoding	-	V	ncRNA	RNA component of nuclear RNase P; nuclear RNase P cleaves tRNA precursors to generate mature 5' ends and facilitates turnover of nuclear RNAs; may be responsible for recognition of substrate tRNAs [Source:SGD;Acc:S000006490]	117667	118035	0.5149	369			
RUF20	RUF20_ncRNA		short_noncoding	-	VI	ncRNA	RNA of Unknown Function [Source:SGD;Acc:S000130127]	131061	131503	0.307	443			
RUF21	RUF21_ncRNA		short_noncoding	-	VI	ncRNA	RNA of Unknown Function [Source:SGD;Acc:S000130129]	57815	58521	0.3239	707			
RUF22	RUF22_ncRNA		short_noncoding	-	VI	ncRNA	RNA of Unknown Function; precise location of 3' end uncertain; RUF22 may be longer than currently annotated [Source:SGD;Acc:S000130131]	199299	199813	0.3184	515			
RUF23	RUF23_ncRNA		short_noncoding	+	VI	ncRNA	RNA of Unknown Function; precise location of 3' end uncertain; RUF23 may be longer than currently annotated [Source:SGD;Acc:S000130133]	221714	221967	0.4567	254			
RUF5-1	RUF5-1_ncRNA	RUF5-1	short_noncoding	+	VIII	ncRNA	RNA of Unknown Function [Source:SGD;Acc:S000028470]	212409	213118	0.3408	710			
RUF5-2	RUF5-2_ncRNA	RUF5-2	short_noncoding	+	VIII	ncRNA	RNA of Unknown Function [Source:SGD;Acc:S000028474]	214407	215116	0.3408	710			
SCR1	SCR1_ncRNA		short_noncoding	+	V	ncRNA	RNA subunit of the Signal Recognition Particle (SRP) [Source:SGD;Acc:S000006491]	441987	442508	0.5498	522			
SRG1	SRG1_ncRNA		short_noncoding	+	V	ncRNA	Non-protein-coding RNA that regulates the transcription of SER3; expression of SRG1 RNA represses expression of its neighboring gene SER3 via a transcription-interference mechanism [Source:SGD;Acc:S000029010]	322212	322762	0.3539	551			
YAL001C	YAL001C_mRNA	TFC3	protein_coding	-	I	protein_coding	Subunit of RNA polymerase III transcription initiation factor complex; part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding; largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC) [Source:SGD;Acc:S000000001]	147594	151166	0.3712	3483	GO:0009304; GO:0071168; GO:0042791; GO:0006383; GO:0006359	GO:0003677	GO:0000127; GO:0005654; GO:0005739
YAL002W	YAL002W_mRNA	VPS8	protein_coding	+	I	protein_coding	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif [Source:SGD;Acc:S000000002]	143707	147531	0.3718	3825	GO:0035542; GO:0032511; GO:0006886; GO:0042144; GO:0016192; GO:0006623	GO:0051020; GO:0043495; GO:0046872; GO:0005515	GO:0005795; GO:0030897; GO:0033263; GO:0005770; GO:0016020
YAL003W	YAL003W_mRNA	EFB1	protein_coding	+	I	protein_coding	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site; human homolog EEF1B2 can complement yeast efb1 mutants [Source:SGD;Acc:S000000003]	142174	143160	0.4461	621	GO:0032232; GO:0006449; GO:0006414; GO:1990145	GO:0005085; GO:0003746	GO:0005853
YAL004W	YAL004W_mRNA		protein_coding	+	I	protein_coding	Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; completely overlaps verified gene SSA1/YAL005C [Source:SGD;Acc:S000002136]	140760	141407	0.4491	648			
YAL005C	YAL005C_mRNA	SSA1	protein_coding	-	I	protein_coding	ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; required for ubiquitin-dependent degradation of short-lived proteins; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, cell wall; 98% identical to paralog Ssa2p with different functional specificity in propagation of yeast [URE3] prions, vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils [Source:SGD;Acc:S000000004]	139503	141431	0.4406	1929	GO:0035617; GO:0072318; GO:0006616; GO:0090344; GO:0000060; GO:0000209; GO:0006626; GO:0006457; GO:0042026; GO:0043161; GO:0002181	GO:0000049; GO:0051082; GO:0005524; GO:0016887	GO:0005844; GO:0000329; GO:0009277; GO:0005634; GO:0005737; GO:0005576
YAL007C	YAL007C_mRNA		protein_coding	-	I	protein_coding	Member of the p24 family involved in ER to Golgi transport; similar to Emp24p and Erv25p; role in misfolded protein quality control; forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; localized to COPII-coated vesicles; ERP2 has a paralog, ERP4, that arose from the whole genome duplication [Source:SGD;Acc:S000000005]	137698	138345	0.3704	648	GO:0006621; GO:0015031; GO:0006888		GO:0030134; GO:0005789; GO:0016021
YAL008W	YAL008W_mRNA		protein_coding	+	I	protein_coding	Integral mitochondrial outer membrane (MOM) protein; dosage suppressor of an MDM10 null that reduces ERMES-related phenotypes, such as alterations in mitochondrial morphology, protein complex assembly, and lipid profile; dosage suppressor of MDM12, MDM34, and MMM1 null mutant growth defects; novel mechanism of MOM import involving Tom70p, the TOM complex, and the TIM23 complex, requiring mitochondrial membrane potential and processing by the IMP complex for correct biogenesis [Source:SGD;Acc:S000000006]	136914	137510	0.3886	597	GO:0055091; GO:0000422; GO:0007005		GO:0031307
YAL009W	YAL009W_mRNA		protein_coding	+	I	protein_coding	Putative regulatory subunit of Nem1p-Spo7p phosphatase holoenzyme; regulates nuclear growth by controlling phospholipid biosynthesis, required for normal nuclear envelope morphology, premeiotic replication, and sporulation [Source:SGD;Acc:S000000007]	135854	136633	0.4141	780	GO:1903740; GO:0071072; GO:0006998; GO:0006470; GO:0006629; GO:0030435		GO:0071595; GO:0031965; GO:0005789; GO:0016021
YAL010C	YAL010C_mRNA	MDM10	protein_coding	-	I	protein_coding	Subunit of both the ERMES and the SAM complex; component of ERMES complex which acts as a molecular tether between the mitochondria and the ER, necessary for efficient phospholipid exchange between organelles and for mitophagy; SAM/TOB complex component that functions in the assembly of outer membrane beta-barrel proteins; involved in mitochondrial inheritance and morphology; ERMES complex is often co-localized with peroxisomes and concentrated areas of pyruvate dehydrogenase [Source:SGD;Acc:S000000008]	134184	135665	0.3671	1482	GO:1990456; GO:0045040; GO:0070096; GO:0051654; GO:0015914; GO:0007005		GO:0032865; GO:0001401; GO:0016021
YAL011W	YAL011W_mRNA	SWC3	protein_coding	+	I	protein_coding	Protein of unknown function; component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae [Source:SGD;Acc:S000000009]	132199	134076	0.4159	1878	GO:0007029; GO:0043486; GO:0016569; GO:0006338; GO:0006355; GO:0006351		GO:0000812
YAL012W	YAL012W_mRNA	CYS3	protein_coding	+	I	protein_coding	Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress [Source:SGD;Acc:S000000010]	130799	131983	0.4869	1185	GO:0019343; GO:0019346; GO:0071266; GO:0019344	GO:0003824; GO:0003962; GO:0004123; GO:0044540; GO:0080146; GO:0030170	GO:0005737
